Filename,Coupling_eV,Diabatic_E1_Ha,Diabatic_E2_Ha,Energy_Gap_eV,Total_Energy_Ha,Overlap_S12,Interlayer_Dist_Ang,FeFe_Dist_Ang,Min_HeavyDist_Ang,Max_HeavyDist_Ang,NN_Dist_1_Ang,Lateral_Slippage_Ang,dataset,split,J_cdft_eV,log10_J_cdft,dz,dx,dy,cos_theta,cos_4phi,sin_4phi,cos_4psi,sin_4psi,d_lateral,cos_4alpha,sin_4alpha,S12_b3lyp,S12_srsh_singlet,S12_srsh_cation,S12_qchem_truth,J_eht_eV,J_zindo_eV,J_dftb_eV,S12,S12_sq,absS12,log_absS12,log10_Coupling
geom_502.out,0.11139530818,-4501.03361404,-4501.03081719,0.0761062041111525,-9002.06443123,0.1988769791,2.9998051185129926,5.917424477865434,3.018793325928921,13.952792645279942,3.220490393210481,5.100694237276359,704_systematic,test,0.1113953,-0.9531331,2.999805,5.020049,0.9034681,1.0,0.4999994,0.8660257,0.9763998,-0.2159709,5.100701,0.7568848,0.6535484,0.009587197,0.009069694,0.009334945,,0.0183343,,,0.009334945,8.714119815302502e-05,0.009334945,-2.0298882364543323,-0.9531253033875737
42_ang_x_job_000.out,0.10858981284,-4501.0241486,-4501.02415739,-0.0002391882008485,-9002.04830599,0.1014084864,4.1999798389600205,4.2296571965113205,4.22965719651132,9.957769274250133,4.22965719651132,0.5001693236588683,704_systematic,test,0.1085898,-0.9642109,4.19998,0.5000753,-0.009697327,1.0,1.0,-1.387779e-17,1.0,0.0,0.5001693,0.9969939,-0.07747948,-0.01350035,-0.009854023,-0.009437337,,0.008520112,0.08059993,,-0.009437337,8.9063329651569e-05,0.009437337,-2.025150536308724,-0.964202916666544
40_ang_x_job_004.out,0.10282099604,-4501.02511313,-4501.02512146,-0.0002266709654802,-9002.05023459,-0.1074748903,3.9999596815960654,4.123105625617661,4.016370995861812,10.33037893395978,4.123105625617661,1.000161259800591,704_systematic,train,0.102821,-0.9879182,3.99996,0.9999738,-0.01936151,1.0,1.0,-1.387779e-17,1.0,0.0,1.000161,0.9970031,-0.07736103,-0.01289176,-0.009706534,-0.00925292,,0.005141309,0.08049988,,-0.00925292,8.561652852639999e-05,0.00925292,-2.03372119264443,-0.987909745881523
geom_163.out,0.10249990152,-4501.09040867,-4501.0509605,1.0734399331507611,-9002.14136917,0.1181007237,3.9928014585825577,3.993113777347197,2.9003184187088835,9.770391630377464,3.47731300496878,0.0499414775612322,704_systematic,train,0.1024999,-0.9892766,3.992739,0.004549314,-0.04991899,0.9659137,0.9999964,0.002684995,0.9970496,-0.07675937,0.05012586,0.9346469,0.3555772,-0.03350175,-0.02989624,-0.02860148,,0.04720089,,,-0.02860148,0.0008180446581903,0.02860148,-1.5436114934570648,-0.9892680779059512
35_ang_16_16.out,0.1013434170199999,-4501.02771586,-4501.02742205,0.0079949814499166,-9002.05513791,-0.157955111,3.499946299417643,4.167733196834941,3.5054109435271634,11.041617484345307,3.543645189250752,2.262824761485684,704_systematic,test,0.1013434,-0.9942045,3.499946,1.630772,1.568744,1.0,1.0,2.081668e-16,1.0,0.0,2.262825,-0.9969956,0.07745861,0.01266853,0.01249248,0.01214604,,-0.0002257334,0.11795,,0.01214604,0.0001475262876816,0.01214604,-1.915565292933119,-0.9941958859243768
geom_367.out,0.09876921858,-4501.00803682,-4501.00804108,-0.0001159205755247,-9002.0160779,-0.1416334446,2.9998657533480064,6.4031242374328485,3.003647965208306,13.898277543300102,4.132071057871585,5.656925442489921,704_systematic,train,0.09876922,-1.005378,2.999866,4.076699,3.921904,1.0,1.0,-2.498002e-16,1.0,0.0,5.656925,-0.997006,0.0773237,0.004331039,0.008753925,0.009148055,,0.02063206,0.1377485,,0.009148055,8.368691028302501e-05,0.009148055,-2.0386712329416565,-1.005369588133743
43_ang_x_job_000.out,0.09501948766,-4501.02484155,-4501.02521457,-0.0101503964182737,-9002.050056119999,0.128471189,4.299979838876474,4.328972164382672,4.328972164382672,10.000355439643132,4.328972164382672,0.5001733552038319,704_systematic,test,0.09501949,-1.022187,4.29998,0.5000793,-0.00969808,1.0,1.0,-1.387779e-17,1.0,0.0,0.5001734,0.9969935,-0.07748487,-0.01100648,-0.007896265,-0.007557777,,0.006370979,0.06419993,,-0.007557777,5.7119993181729e-05,0.007557777,-2.1216059264788,-1.0221781745327745
40_ang_xy_job_003.out,0.08918264236,-4501.02633979,-4501.02634544,-0.0001537444175004,-9002.052685229999,0.1299975457,3.999973147829036,4.156921938165306,4.009735472534317,10.29346990429369,4.156921938165306,1.1314657823578569,704_systematic,train,0.08918264,-1.04972,3.999973,0.8154763,0.7843553,1.0,1.0,6.938894000000001e-17,1.0,0.0,1.131466,-0.996975,0.07772254,-0.01114032,-0.007793306,-0.007426283,,0.002838399,0.06454986,,-0.007426283,5.5149679196089e-05,0.007426283,-2.129228504688261,-1.0497099249124446
35_ang_26_26.out,0.08839895404,-4501.02822056,-4501.0285068,-0.0077889911524676,-9002.056727359999,-0.1806039384,3.4999127383812403,5.076416058598823,3.5102099016013275,12.253844158899687,3.604638848386895,3.677038322307333,704_systematic,train,0.08839895,-1.053553,3.499913,2.649916,2.549226,1.0,1.0,-2.498002e-16,1.0,0.0,3.677038,-0.9970017,0.07737965,0.01140538,0.008553591,0.007976795,,0.003150873,0.07889995,,0.007976795,6.3629258472025e-05,0.007976795,-2.0981715689213787,-1.053543047972541
md_053.out,0.0860016297,-4501.02812725,-4501.02880727,-0.0185042962250243,-9002.056934519998,0.1396769248,3.8038863875562,6.241196637305381,3.172241020511682,14.0270819275833,4.015760623928424,4.94802827559389,slater_111_md,train,0.08600159,-1.065494,3.803951,-1.831145,4.596681,0.9758059,0.6013517,0.7989844,1.0,4.715091e-06,4.947987,0.05439398,0.9985196,-0.01074579,-0.009849523,-0.009418871,0.1396769,-0.01215396,,,-0.009418871,8.8715130914641e-05,0.009418871,-2.0260011510734435,-1.0654832193911281
43_ang_xy_job_000.out,0.08390363076,-4501.02465754,-4501.02470475,-0.0012846501953041,-9002.04936229,0.1061545405,4.299983215889318,4.357751713900185,4.353367037098986,10.085312819669998,4.357751713900185,0.7072088397850784,704_systematic,test,0.08390363,-1.076219,4.299983,0.509745,0.4902085,1.0,1.0,-1.526557e-16,1.0,0.0,0.7072088,-0.9969486,0.07806033,-0.00978417,-0.006859269,-0.006559541,,0.004809756,0.05579984,,-0.006559541,4.3027578130681e-05,0.006559541,-2.183126548994324,-1.0762088934508998
md_103.out,0.08271721372,-4501.03080183,-4501.02796406,0.0772196945791409,-9002.05876589,0.1670717666,3.396345757766005,6.087461973244597,3.1499723491770526,14.038861804941526,3.492232634472394,5.051933171510077,slater_111_md,train,0.08271717,-1.082404,3.396326,4.747154,1.728241,0.9962309,-0.1968773,0.9804281,1.0,-1.233774e-05,5.051959,0.1733415,0.9848618,0.009281907,0.006298788,0.006417314,0.1670718,-0.007807737,,,0.006417314,4.1181918974596e-05,0.006417314,-2.1926467100363345,-1.0823936023774074
geom_419.out,0.08269000232,-4500.97903643,-4500.98103396,-0.0543555878461727,-9001.96007039,-0.144889477,1.9996437531666256,9.27857057828047,2.581578110645696,17.39250548224292,5.957474285056546,9.06053512970143,704_systematic,train,0.08269,-1.082547,1.999644,9.02266,0.8292444,1.0,-0.4999999,-0.8660254,0.2159749,0.9763989,9.060686,0.9335523,0.3584412,-0.008736373,-0.007460347,-0.006828588,,0.02654037,,,-0.006828588,4.6629614073744e-05,0.006828588,-2.165669089403418,-1.0825364918531564
