Actual_File_Name,True_Coupling_log10,Predicted_Coupling_log10,Predicted_True_Ratio_Linear,Min_HeavyDist_Ang,cos_theta,cos_4phi,cos_4psi,FeFe_Dist_Ang
47_ang_xy_job_005.out,-2.2195353379440066,-2.353140619086183,0.7351817520018064,4.700766261940705,1.0,1.0,1.0,6.331666447310692
48_ang_xy_job_009.out,-2.035724443134907,-2.1674286564966003,0.738406968625548,4.803823715604061,1.0,1.0,1.0,8.546344247688598
42_ang_x_job_006.out,-1.6533070208040326,-1.7832223132898193,0.7414548451923721,4.214416415175415,1.0,1.0,1.0,5.4671747731346585
42_ang_xy_job_009.out,-1.6224607770997672,-1.7511167336439861,0.7436079829392642,4.204450771575284,1.0,1.0,1.0,8.224354077980836
35_ang_42_42.out,-1.3167673828739688,-1.444062931311855,0.7459409538563194,3.522901800916398,1.0,1.0,1.0,6.894200461257274
40_ang_x_job_013.out,-1.3647341750956852,-1.4913524616177156,0.7471051213539148,4.035007230588318,1.0,1.0,1.0,4.882622246293481
md_131.out,-2.066561647444459,-2.191395589800976,0.7501809950974607,4.540688279359639,0.9829886,0.05406596,1.0,7.482904384683999
47_ang_xy_job_009.out,-1.9657224635222648,-2.0889685395511712,0.7529288250963001,4.703917121995242,1.0,1.0,1.0,8.490583018850943
43_ang_xy_job_009.out,-1.6896823370455794,-1.812186533794808,0.7542161075413799,4.304334128596431,1.0,1.0,1.0,8.275868534480233
geom_479.out,-1.1569457902776568,-1.2692378991378064,0.7721610506195442,3.001523188216276,1.0,1.0,1.0,5.196152422706632
geom_176.out,-2.3341020540537003,-2.4461266732701574,0.7726367847431788,3.1034151852865257,0.2587822,-0.1054281,0.9970065,7.346707377956808
md_129.out,-3.1507186609670983,-3.260162247613284,0.7772422733246215,7.109230869363577,0.9979639,0.09428809,1.0,8.545809240237814
5_12_ang.out,-1.8568507373717251,-1.9642194878080055,0.7809644223042025,5.002576369432055,1.0,1.0,1.0,5.141984052872976
40_ang_xy_job_003.out,-1.0497099249124446,-1.1557808085072576,0.7833017853329364,4.009735472534317,1.0,1.0,1.0,4.156921938165306
35_ang_56_56.out,-1.3176505575217758,-1.421660032006109,0.7870286198438188,3.64274955090245,1.0,1.0,1.0,8.658521813797089
md_092.out,-1.4459359716641345,-1.549749218540942,0.7873843039348077,3.7807744702481263,0.9974505,0.2156303,1.0,7.1172222011856565
geom_178.out,-2.0712706413859316,-2.1740550090374846,0.7892518932526063,3.289439310794471,-3.356131e-05,0.9969988,0.996999,8.930472231713171
geom_529.out,-2.938154790209788,-3.0318779029252028,0.8058920792057713,3.1390247863115066,-0.2587722,-0.9138922,0.5654658,8.897475014065057
5_ang_52_52.out,-2.210807397568216,-2.3035636249358156,0.8076882642970524,5.0203221301625645,1.0,1.0,1.0,8.892693630166285
geom_317.out,-3.243578232076282,-3.3363069236512146,0.8077394761880262,5.282686605635527,0.2587682,0.01850232,-0.565527,9.77525754420992
geom_498.out,-2.12453913101264,-2.2151898326312534,0.81161356747965,4.112004654399117,-3.356131e-05,0.9969988,0.996999,8.253741835155738
geom_323.out,-2.8536654257607554,-2.941136178729785,0.817578094887091,5.006771014117282,1.0,-0.4999999,0.2159749,6.561296821218501
geom_341.out,-4.992960126973375,-5.08004862936011,0.8182980148736494,2.5287102257730125,0.4999892,-0.9942668,-0.565502,6.555191909243085
geom_389.out,-2.0160330520749565,-2.101877580385814,0.8206452719211259,3.478216778832223,-2.024279e-06,0.9970081,0.9970071,9.874169463145344
42_ang_x_job_001.out,-1.1340504934055033,-1.2195055175259064,0.8213816113585994,4.215601970822198,1.0,1.0,1.0,4.317406628984581
40_ang_xy2_job_005.out,-1.7037902786008239,-1.7823631789969845,0.8345014576347252,4.020036952429666,1.0,1.0,1.0,7.161005515987263
44_ang_xy_job_005.out,-1.9982539393881698,-2.0767334434599434,0.8346809389618762,4.40085735390276,1.0,1.0,1.0,6.11228271597445
40_ang_x2_job_011.out,-1.7328848842812843,-1.809269823701385,0.8387162559699246,4.01020003488604,1.0,1.0,1.0,6.7201190465645775
5_ang_26_26.out,-2.1428669532589635,-2.218851458105629,0.8394899380702505,5.00369921987723,1.0,1.0,1.0,5.488169093604897
44_ang_x_job_001.out,-1.2716493643928082,-1.3467337060742075,0.8412317552943167,4.414902487756667,1.0,1.0,1.0,4.512205669071391
5_ang_80.out,-2.16234579637985,-2.2371349409167642,0.8418037488107584,5.020309070176856,1.0,1.0,1.0,9.433981132056603
geom_194.out,-2.1768397174677787,-2.2505904905462586,0.843818857963289,3.8034663479034494,3.828983e-05,0.9969819,0.9970035,9.692016440960677
md_159.out,-1.4516153904611768,-1.5243450477971692,0.8458051840453136,3.3508711769307093,0.9865627,0.8788329,1.0,5.957237529337487
md_074.out,-2.738051145306665,-2.8091317391525585,0.8490229036801137,4.524357566927154,0.9783251,-0.5343113,1.0,7.049670448386152
geom_444.out,-2.063952220878483,-2.133323807036909,0.8523705062700272,4.321018526750378,0.9659258,0.9999964,0.9970101,8.042923562936366
geom_48.out,-2.8065377798678948,-2.870888724261505,0.8622814743242317,2.7874550797078324,0.7071068,0.8634222,-0.431555,9.422550693354852
