Actual_File_Name,True_Coupling_log10,Predicted_Coupling_log10,Predicted_True_Ratio_Linear,Min_HeavyDist_Ang,cos_theta,cos_4phi,cos_4psi,FeFe_Dist_Ang,absS12
geom_474.out,-1.9885928141492895,-2.3222996811766956,0.46375983513502256,4.043937595995393,3.828983e-05,0.9969819,0.9970035,9.78511720378719,0.0001034621
52_ang_xy_job_000.out,-1.7851670189836009,-2.1130700289942763,0.46999906069633846,5.244151080937695,1.0,1.0,1.0,5.24785670536077,0.0006864943
md_115.out,-1.9736575499222822,-2.3010423633008585,0.47056019444404557,4.211571181000506,0.9830621,0.1391469,1.0,7.022052764603311,0.0006465797
geom_131.out,-2.462220637765786,-2.78736068944586,0.4729987013123372,4.151375172070696,0.7070931,-0.4801605,-0.431511,7.634653542992898,0.0001234772
geom_422.out,-1.1702945206263753,-1.4829493103903564,0.4867939927814764,2.487640870367948,0.7071068,0.7936536,-0.5654281,7.193828434409943,0.01445891
51_ang_xy_job_000.out,-1.7058264864134998,-2.018050186277401,0.4872774347055223,5.145016672441402,1.0,1.0,1.0,5.1487862647424,0.0009034495
geom_206.out,-2.6915014121170624,-3.002592395725768,0.488549998617171,4.997400336806628,0.7070918,0.03508414,0.9970072,9.171750727436176,4.692528e-05
5_02_ang.out,-1.5308318409706858,-1.8413140897482714,0.4892352615811177,5.0039984012787215,1.0,1.0,1.0,5.0039984012787215,0.001517577
5_ang_02_02.out,-1.5383591229923832,-1.8482374345142896,0.4899160736794251,5.0079936102195655,1.0,1.0,1.0,5.0079936102195655,0.001486514
5_04_ang.out,-1.5536898769894738,-1.8618894086003221,0.4918135256918001,5.015974481593781,1.0,1.0,1.0,5.015974481593781,0.001425992
md_130.out,-3.1002605989735597,-3.405453598901885,0.495230062271436,6.791863120504859,0.9698219,-0.3942661,1.0,7.719754036077834,4.527944e-07
48_ang_xy_job_004.out,-1.8902287008464758,-2.1947096383888827,0.49604269968598275,4.801872921402648,1.0,1.0,1.0,5.961543424315552,0.0005992977
5_ang_04_04.out,-1.5850304678240776,-1.888976777690234,0.4966537170182045,5.03189825016365,1.0,1.0,1.0,5.03189825016365,0.001307745
47_ang_xy_job_004.out,-1.8141444565539087,-2.1176460731474194,0.4971625231118044,4.701913818148946,1.0,1.0,1.0,5.881326381013046,0.0007689307
md_034.out,-2.357147858486727,-2.6598564301067684,0.4980711978859927,4.539810767351653,0.9720145,-0.4527681,1.0,7.084375877591618,0.000451006
geom_442.out,-1.9737687866910285,-2.276184459130606,0.49840722299559576,2.979277045644966,0.2587822,-0.1054281,0.9970065,9.274243758782976,0.001416491
5_06_ang.out,-1.5929659527226838,-1.8952942331389158,0.4985075263616134,5.035871324805669,1.0,1.0,1.0,5.035871324805669,0.001281284
46_ang_xy_job_004.out,-1.7357694076329504,-2.037833286709172,0.4988111134293995,4.601956491895594,1.0,1.0,1.0,5.801723881744114,0.0009806421
geom_503.out,-2.4729724668723465,-2.7740308977964934,0.4999672637686212,5.005577687841434,1.0,0.4999995,-0.3011595,6.168588115115646,0.000144141
5_ang_74.out,-2.088455877091433,-2.3824394999079543,0.5081786055425712,5.01873307699264,1.0,1.0,1.0,8.930845424706442,0.0003259984
geom_471.out,-1.1905056239253784,-1.4766950481622803,0.5173811189748474,2.4474640939241583,0.8660086,0.9999455,0.996983,8.221317034526766,0.006436017
geom_82.out,-1.7967046150575265,-2.082500623640832,0.5178500129183546,2.622968312695752,-0.4999999,0.9970123,0.9970127,8.227110165260338,0.0002829937
