Filename,Coupling_eV,Diabatic_E1_Ha,Diabatic_E2_Ha,Energy_Gap_eV,Total_Energy_Ha,Overlap_S12,Interlayer_Dist_Ang,FeFe_Dist_Ang,Min_HeavyDist_Ang,Max_HeavyDist_Ang,NN_Dist_1_Ang,Lateral_Slippage_Ang,dataset,split,J_cdft_eV,log10_J_cdft,dz,dx,dy,cos_theta,cos_4phi,sin_4phi,cos_4psi,sin_4psi,d_lateral,cos_4alpha,sin_4alpha,S12_b3lyp,S12_srsh_singlet,S12_srsh_cation,S12_qchem_truth,J_eht_eV,J_zindo_eV,J_dftb_eV,S12,S12_sq,absS12,log_absS12,log10_Coupling,KRR_Predicted_log10
geom_240.out,0.00024762374,-4501.09321296,-4501.07595268,0.4696763831754298,-9002.16916564,-0.0008003444,4.77785877646541,9.665306702407328,3.1040708685861222,16.849510781330746,6.537762610035944,8.401798567196932,704_systematic,train,0.0002476237,-3.606208,4.778377,8.220808,1.734242,-1.234809e-07,-0.5654558,-0.8247786,-0.5654565,-0.8247781,8.401743,0.6736669,0.7390351,4.315628e-05,0.001160133,0.001013633,,0.001006729,0.003430075,,0.001013633,1.027451858689e-06,0.001013633,-2.99411925850456,-3.602714114259161,-2.8202085971684667
geom_466.out,0.0002449026,-4500.84696487,-4500.87748515,-0.8304995471925124,-9001.72445002,0.0010220876,0.9709904239770976,9.208487306542263,2.5012280956530137,17.105307004742738,6.437094954558461,9.157151089246852,704_systematic,train,0.0002449026,-3.611007,0.9708899,7.118092,5.761086,-0.8660019,0.9999296,0.01186841,0.9970288,-0.07702907,9.157365,-0.9131265,0.4076764,-0.004009998,-0.002962037,-0.002653054,,-0.005166854,0.01019463,,-0.002653054,7.038695526916001e-06,0.002653054,-2.5762539101768724,-3.6074743367197177,
md_073.out,0.00023401804,-4501.020671,-4501.02311531,-0.0665130971367432,-9002.043786310001,-0.0019644715,8.121776012701362,8.153489978255447,7.796150849334497,12.158874922836652,8.010805663623417,0.7184380453600515,slater_111_md,train,0.0002340179,-3.630751,8.121799,0.532553,0.4821705,0.9965859,0.8509757,0.5252051,1.0,1.065928e-05,0.7184018,-0.9803747,0.1971432,-2.317402e-08,-1.6785e-08,-1.412105e-08,-0.001964471,2.045989e-07,3.863686e-06,,-1.412105e-08,1.9940405310250002e-16,1.412105e-08,-7.850102255191781,-3.627054800534025,
geom_512.out,0.0002231334799999,-4501.02007823,-4501.02013019,-0.001413904339564,-9002.04020842,-0.0003031281,5.999973019501939,6.405562842869157,6.001965892705572,12.241427762057864,6.085498301491013,2.2431137062562785,704_systematic,train,0.0002231335,-3.651435,5.999973,1.044123,1.985172,1.0,0.4999995,-0.8660257,-0.3011595,0.9535738,2.243011,-0.3578866,-0.9337651,1.204097e-05,7.851398e-06,7.425528e-06,,3.299932e-05,0.000115817,,7.425528e-06,5.5138466078784006e-11,7.425528e-06,-5.129272601458932,-3.6475599154925535,
geom_480.out,0.00022041234,-4501.10655219,-4501.08748441,0.5188609886951021,-9002.1940366,-0.0010504464,7.776285435572474,7.867086913620886,3.838131680022847,13.414887269993883,6.160385370607995,1.1918226927561053,704_systematic,train,0.0002204123,-3.656764,7.776686,1.184821,-0.1280204,-1.240245e-05,-0.5654904,-0.8247549,-0.565513,-0.8247394,1.191717,0.908744,-0.4173539,-0.0003044836,-0.0001739389,-0.0001609591,,-7.954144e-05,0.0650605,,-0.0001609591,2.590783187281e-08,0.0001609591,-3.793284462269231,-3.652841120663573,
geom_126.out,0.00022041234,-4500.99931052,-4501.03374427,-0.9369905447516867,-9002.033054790001,-0.0008801206,0.1141167662219362,9.853634147066504,3.139049258590569,17.648800446055308,6.983607325195626,9.852973321180873,704_systematic,train,0.0002204123,-3.656764,0.1138788,7.22381,-6.700644,0.5000002,0.5897607,-0.8075781,-0.4315365,-0.9020955,9.853023,-0.9887387,-0.1496521,-0.0001169984,0.0009015553,0.0007690838,,-0.002459361,0.002537262,,0.0007690838,5.9148989142244e-07,0.0007690838,-3.1140263359735947,-3.652841120663573,
md_019.out,0.0002176912,-4501.10688198,-4501.10521375,0.045394873826832,-9002.21209573,-0.0004057445,3.8377356631419617,5.673136739347466,3.911218475054033,12.718338478126848,4.049493836175331,4.178069583334189,slater_111_md,train,0.0002176911,-3.662159,3.837715,-3.941106,1.386627,0.9946043,-0.7401634,0.6724271,1.0,-9.376777e-08,4.177924,0.2158426,-0.9764282,-0.0003898491,-0.0001713233,-5.535264e-05,-0.0004057445,0.0007950216,,,-5.535264e-05,3.0639147549695997e-09,5.535264e-05,-4.256861653116533,-3.658187338928297,
md_140.out,0.0002176912,-4501.02082498,-4501.0222809,-0.0396176214852372,-9002.043105879999,0.0011833151,5.912491661991943,7.40238321451254,5.841358785839901,13.654464772018455,6.105360784248053,4.453955500605362,slater_111_md,train,0.0002176911,-3.662159,5.912481,-3.749351,-2.404093,0.9944881,-0.562104,-0.8270666,1.0,-1.580905e-05,4.453908,-0.6517325,0.7584489,8.218708e-06,4.341184e-06,4.879601e-06,0.001183315,-5.626709e-06,0.2744509,,4.879601e-06,2.3810505919201002e-11,4.879601e-06,-5.3116155993605565,-3.658187338928297,
geom_364.out,0.00020952778,-4501.02157657,-4501.10104486,-2.162443426494239,-9002.12262143,-0.0007420994,7.934431040362716,9.078448769863549,5.103105609435297,15.764279300138208,6.808364225994376,4.411693114073737,704_systematic,train,0.0002095278,-3.678758,7.934332,4.040201,1.77242,0.7070798,-0.9158167,-0.4015966,0.9970127,-0.07723822,4.411881,-0.08276457,0.9965691,9.280293e-05,5.515839e-05,4.925788e-05,,-8.712573e-06,0.0004440477,,4.925788e-05,2.4263387420944e-09,4.925788e-05,-4.30752427479089,-3.67463258853271,
geom_363.out,0.00020680664,-4501.02528129,-4501.06673107,-1.1279065434980118,-9002.09201236,-0.0015978863,4.967703261027094,8.676138568520273,5.777840264793152,15.24569621285332,6.929103158295956,7.113178246785734,704_systematic,train,0.0002068066,-3.684436,4.967795,7.111958,-0.1340191,0.8660182,-0.2858406,-0.9582772,0.9969883,-0.07755196,7.11322,0.9971612,-0.07529651,6.165489e-08,2.89939e-07,-5.862155e-08,,-2.134087e-05,0.05606662,,-5.862155e-08,3.4364861244025004e-15,5.862155e-08,-7.231935294276256,-3.680255694992052,-3.2977910889933115
